,precision,recall,f1-score,support
5050_guard,0.9013086150490731,0.9775280898876404,0.9378723404255319,1691.0
back1,0.9839048285514346,0.9950460014154282,0.9894440534834623,1413.0
back2,0.9900332225913622,0.9683184402924452,0.9790554414784394,1231.0
closed_guard1,0.9392220421393841,0.9445802770986145,0.9418935392117026,1227.0
closed_guard2,0.9312906220984215,0.9019784172661871,0.916400182731841,1112.0
half_guard1,0.8297665369649806,0.9084132055378061,0.8673106253177427,939.0
half_guard2,0.8560311284046692,0.9314140558848434,0.8921330089213301,1181.0
mount1,0.8892645815722738,0.8847771236333053,0.8870151770657673,1189.0
mount2,0.9276139410187667,0.8955996548748921,0.9113257243195786,1159.0
open_guard1,0.9638942617666022,0.948002536461636,0.9558823529411765,1577.0
open_guard2,0.9595959595959596,0.9041468388851122,0.9310465523276164,1471.0
side_control1,0.8360957642725598,0.749793559042114,0.7905964301262516,1211.0
side_control2,0.8853118712273642,0.8453410182516811,0.8648648648648649,1041.0
standing,0.9471264367816092,0.9856459330143541,0.9660023446658851,3344.0
takedown1,0.8803827751196173,0.7036328871892925,0.7821466524973433,523.0
takedown2,0.8459869848156182,0.7543520309477756,0.7975460122699386,517.0
turtle1,0.9866743916570104,0.9976567076742824,0.9921351587532771,1707.0
turtle2,0.9705317104420244,0.9947472094550229,0.9824902723735408,1523.0
accuracy,0.9287080146325241,0.9287080146325241,0.9287080146325241,0.9287080146325241
macro avg,0.9180019818927071,0.9050541103784684,0.9102867074319606,24056.0
weighted avg,0.928533978043557,0.9287080146325241,0.9278030969187638,24056.0
